"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
269.153668048889,7.57689441903494,8.44694021972828,8.77630487317219,5.78740140423179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
178.359211649971,5.43581139994785,7.41145747946575,8.01022326108068,6.5506060491316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
229.604262033118,7.13285526959226,9.33859758777544,7.3522626189515,7.62773968395777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207.061524078918,8.96936406381428,5.8640292880591,9.3939313152805,7.5936496455688,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
343.924302383978,6.61208637291566,5.41851917863823,6.87080763513222,8.9384458551649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
184.767194605132,6.47856722702272,8.28871447243728,6.35895348037593,7.89428863325156,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
275.708742079297,5.1976357831154,8.35268561262637,9.24190973397344,7.44898253004067,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0
227.13946738894,9.17382209911011,5.99545567762107,7.09526372025721,8.71098726755008,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0
175.162720874165,8.24162203003652,8.97284572245553,8.50158855784684,5.99697533878498,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
242.789958785277,8.75940091093071,5.10940240113996,6.169030534802,5.49390663742088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
287.380555311083,8.61264090635814,9.93456586962566,9.81672477559187,7.64122515101917,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
181.525221122872,8.05040616192855,6.68565725674853,5.42121811537072,7.70609233761206,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
